Created at,Shop,Product category,Description,Billed amount,Billed currency,Bill number,Bill date,Cycle start,Cycle end,App name
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:05Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:04Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,8.58,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387798674,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.65,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,12.58,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
